eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,total_case_agent_3,rewards_agent_0,rewards_agent_1,rewards_agent_2,rewards_agent_3,total_steps,del_threshold,eps_status,grid_size,num_agents
127,0.1,0.31,0.5,3,10,11,12,-132,92,89,90,33,0.1,0,10,4
128,0.1,0.31,0.5,3,10,11,12,-154,92,91,90,55,0.1,0,10,4
129,0.1,0.31,0.5,3,10,11,12,-299,-105,91,-105,200,0.1,0,10,4
130,0.1,0.31,0.5,3,14,11,13,-178,83,91,87,79,0.1,0,10,4
131,0.1,0.31,0.5,3,11,11,13,-113,92,91,-102,14,0.1,0,10,4
132,0.1,0.31,0.5,3,10,11,12,-187,92,91,90,88,0.1,0,10,4
133,0.1,0.31,0.5,3,10,11,12,-372,92,91,90,273,0.1,0,10,4
134,0.1,0.31,0.5,3,10,11,12,-347,92,91,89,248,0.1,0,10,4
135,0.1,0.31,0.5,3,10,11,13,-174,92,91,88,75,0.1,0,10,4
136,0.1,0.31,0.5,3,10,11,12,-338,92,91,90,239,0.1,0,10,4
137,0.1,0.31,0.5,3,10,11,12,-124,92,89,90,25,0.1,0,10,4
138,0.1,0.31,0.5,3,10,11,12,-943,92,91,90,844,0.1,0,10,4
139,0.1,0.31,0.5,3,10,11,12,-212,92,91,-109,113,0.1,0,10,4
140,0.1,0.31,0.5,3,10,11,12,-329,92,90,90,230,0.1,0,10,4
141,0.1,0.31,0.5,3,10,11,12,-384,92,91,90,285,0.1,0,10,4
142,0.1,0.31,0.5,3,10,11,13,-204,92,91,87,105,0.1,0,10,4
143,0.1,0.31,0.5,3,10,11,12,-306,92,91,90,207,0.1,0,10,4
144,0.1,0.31,0.5,3,10,11,12,-156,92,91,90,57,0.1,0,10,4
145,0.1,0.31,0.5,3,10,11,12,-208,92,90,90,109,0.1,0,10,4
146,0.1,0.31,0.5,3,10,11,13,-174,92,91,85,75,0.1,0,10,4
147,0.1,0.31,0.5,3,10,11,12,-154,92,91,90,55,0.1,0,10,4
148,0.1,0.31,0.5,3,10,11,12,-231,91,91,89,132,0.1,0,10,4
